iter	RMSE
0	1.218150448
1	1.059087126
2	0.9452547929
3	0.8665274096
4	0.8163333819
5	0.7846734257
6	0.7598985935
7	0.7433041384
8	0.7325944545
9	0.7249178325
10	0.7207523314
11	0.7169187852
12	0.7142689717
13	0.711848598
14	0.7082336542
15	0.7069083221
16	0.7054329834
17	0.7039982643
18	0.7024945423
19	0.7014185296
20	0.7004636506
21	0.6997713786
22	0.6988943749
23	0.6977996874
24	0.6968941431
25	0.6964043756
26	0.6957378156
27	0.6953804435
28	0.6948447081
29	0.6941922773
30	0.6938309609
31	0.6932338268
32	0.6927792402
33	0.692114479
34	0.6915971811
35	0.6912730875
36	0.6907796846
37	0.6901939375
38	0.6898243069
39	0.6895697447
40	0.6892930457
41	0.6888353516
42	0.6882978073
43	0.6877964592
44	0.6873691115
45	0.6868163249
46	0.6863889175
47	0.6855225943
48	0.6851346299
49	0.6845332402
50	0.6840134217
51	0.6834190129
52	0.6831467951
53	0.6826248911
54	0.6820848061
55	0.6816405393
56	0.681033621
57	0.6803105088
58	0.6797772538
59	0.6792399124
60	0.6788438202
61	0.6784765165
62	0.6778708109
63	0.6774472408
64	0.6771417025
65	0.6767917468
66	0.6763307673
67	0.6759024483
68	0.6750582907
69	0.6747045556
70	0.674219876
71	0.6738367478
72	0.6734716623
73	0.6729935428
74	0.6726274696
75	0.6721371749
76	0.6717681024
77	0.6714435869
78	0.6710793554
79	0.6705775603
80	0.6702493762
81	0.6699816839
82	0.6695905721
83	0.6689509829
84	0.6685310569
85	0.6680789351
86	0.6678471695
87	0.6676061615
88	0.6671806217
89	0.666842476
90	0.666470757
91	0.6661857426
92	0.665862211
93	0.6653975296
94	0.6650523976
95	0.6648417085
96	0.6644958822
97	0.6640821114
98	0.6638085012
99	0.6634322737
100	0.6632134215
101	0.6627667926
102	0.662294867
103	0.6618003629
104	0.6614503214
105	0.6610721317
106	0.660770723
107	0.6603684658
108	0.6601004094
109	0.6596064881
110	0.6593900581
111	0.6590948456
112	0.6587249053
113	0.6584918855
114	0.6579424568
115	0.6576086265
116	0.6572478714
117	0.6567840456
118	0.6565630202
119	0.6562867766
120	0.6561094963
121	0.6557160304
122	0.6554409352
123	0.6552359406
124	0.6548023395
125	0.6545269093
126	0.6542121726
127	0.6539146501
128	0.6537098589
129	0.653544503
130	0.6532803609
131	0.6529256053
132	0.6525405834
133	0.6521536205
134	0.6518361172
135	0.651553393
136	0.6512248845
137	0.650896524
138	0.6506512903
139	0.6504754343
140	0.6502469759
141	0.6499609282
142	0.6496456374
143	0.6493849228
144	0.6491713614
145	0.6488429632
146	0.6484722543
147	0.6482632537
148	0.647892504
149	0.6476550694
150	0.6474891539
151	0.6472733018
152	0.6470349691
153	0.6466649316
154	0.6463421192
155	0.6460049813
156	0.6456525481
157	0.6454587753
158	0.6452038299
159	0.6448882029
160	0.6445040341
161	0.6441759115
162	0.6439240911
163	0.6437134828
164	0.6434252476
165	0.6432163713
166	0.6429876316
167	0.642594942
168	0.6423377159
169	0.6421142495
170	0.6419857139
171	0.641765514
172	0.6414774177
173	0.6412972838
174	0.6408553468
175	0.6404669774
176	0.6400565578
177	0.6397095107
178	0.6395203784
179	0.6392158489
180	0.63893868
181	0.6386908846
182	0.6384075119
183	0.6381864714
184	0.6379915173
185	0.6377757692
186	0.6375005771
187	0.6371402149
188	0.636779193
189	0.636576926
190	0.6362214391
191	0.6359179283
192	0.6357583499
193	0.6354989129
194	0.6352644163
195	0.634984458
196	0.6345349279
197	0.634319217
198	0.6341544308
199	0.6338909161
