iter	Passed	Remaining
0	60	11958
1	66	6603
2	70	4607
3	73	3581
4	76	2975
5	81	2639
6	84	2339
7	87	2110
8	90	1928
9	95	1807
10	99	1708
11	102	1605
12	105	1517
13	108	1440
14	113	1398
15	116	1343
16	120	1293
17	123	1244
18	125	1199
19	131	1179
20	133	1140
21	136	1106
22	139	1073
23	143	1049
24	147	1030
25	150	1004
26	152	979
27	156	962
28	161	952
29	166	943
30	169	922
31	172	903
32	176	893
33	179	878
34	182	861
35	185	846
36	188	831
37	191	817
38	194	802
39	197	789
40	200	775
41	202	763
42	205	750
43	208	739
44	211	728
45	214	717
46	217	707
47	221	699
48	223	689
49	226	679
50	229	670
51	232	661
52	235	654
53	238	645
54	241	636
55	244	628
56	246	619
57	249	611
58	252	604
59	255	596
60	258	589
61	261	582
62	264	575
63	267	567
64	270	560
65	272	554
66	275	546
67	278	541
68	281	535
69	284	528
70	287	522
71	290	516
72	293	509
73	295	503
74	298	497
75	301	491
76	304	485
77	306	480
78	309	474
79	312	468
80	315	463
81	318	457
82	321	452
83	323	447
84	326	441
85	329	436
86	332	431
87	335	426
88	338	421
89	340	416
90	343	411
91	346	406
92	349	401
93	351	396
94	354	391
95	357	387
96	360	382
97	362	377
98	365	373
99	368	368
100	371	363
101	374	359
102	377	355
103	379	350
104	382	346
105	385	341
106	388	337
107	391	333
108	393	328
109	396	324
110	399	320
111	402	315
112	404	311
113	407	307
114	410	303
115	413	299
116	416	295
117	418	291
118	421	287
119	424	283
120	427	279
121	430	275
122	433	271
123	437	267
124	441	264
125	444	260
126	447	257
127	450	253
128	457	251
129	460	247
130	463	243
131	465	240
132	468	236
133	471	232
134	474	228
135	477	224
136	480	220
137	483	217
138	486	213
139	489	209
140	491	205
141	494	202
142	497	198
143	501	195
144	504	191
145	507	187
146	511	184
147	516	181
148	519	177
149	521	173
150	524	170
151	527	166
152	530	162
153	533	159
154	536	155
155	539	152
156	541	148
157	544	144
158	547	141
159	550	137
160	552	133
161	555	130
162	558	126
163	561	123
164	564	119
165	569	116
166	573	113
167	578	110
168	582	106
169	587	103
170	591	100
171	594	96
172	597	93
173	600	89
174	602	86
175	605	82
176	608	79
177	611	75
178	614	72
179	617	68
180	619	65
181	622	61
182	625	58
183	628	54
184	631	51
185	634	47
186	636	44
187	639	40
188	642	37
189	645	33
190	649	30
191	652	27
192	655	23
193	657	20
194	660	16
195	663	13
196	666	10
197	669	6
198	672	3
199	675	0
